Ano,Código Órgão Superior,Nome Órgão Superior,Código Função,Nome Função,Código Subfunção,Nome Subfunção,Valor Empenhado (R$),Valor Liquidado (R$),Valor Pago (R$)
2020,32000,Ministério de Minas e Energia,25,Energia,846,Outros encargos especiais,-165206.3,4411507.55,13210224.75
2020,56000,Ministério das Cidades,15,Urbanismo,451,infra-estrutura urbana,1236312816.53,11124833.959999999,13093187.15
2020,84000,Ministério dos Povos Indígenas,14,Direitos da cidadania,423,Assistência aos povos indígenas,17806855.25,12138948.18,12883934.39
2020,32000,Ministério de Minas e Energia,28,Encargos especiais,846,Outros encargos especiais,-1601329.59,12502501.82,12503574.75
2020,20000,Presidência da República,24,Comunicações,722,Telecomunicações,27762553.740000002,14360983.31,12488562.76
2020,47000,Ministério do Planejamento e Orçamento,04,Administração,846,Outros encargos especiais,10333532.76,12461071.22,12461071.22
2020,52000,Ministério da Defesa,05,Defesa nacional,212,Cooperação internacional,2291999.31,18769557.62,12451818.14
2020,30000,Ministério da Justiça e Segurança Pública,04,Administração,122,Administração geral,17505626.01,11739807.11,12062626.23
2020,46000,Ministério da Gestão e da Inovação em Ser,08,Assistência social,331,Proteção e benefícios ao trabalhador,0.0,11987091.97,11987091.97
2020,30000,Ministério da Justiça e Segurança Pública,28,Encargos especiais,846,Outros encargos especiais,-2199886.47,14391838.31,11907672.870000001
2020,36000,Ministério da Saúde,28,Encargos especiais,845,Outras transferências,7413270.0,11838591.0,11838591.0
2020,25000,Ministério da Fazenda,23,Comércio e serviços,126,Tecnologia da informação,7883423.85,87693063.58,11310068.26
2020,36000,Ministério da Saúde,28,Encargos especiais,846,Outros encargos especiais,6340074.46,11220569.99,11252052.75
2020,68000,Ministério de Portos e Aeroportos,28,Encargos especiais,846,Outros encargos especiais,11448912.0,11241586.3,11241586.3
2020,36000,Ministério da Saúde,10,Saúde,126,Tecnologia da informação,31424207.36,11259838.589999998,11106979.79
2020,39000,Ministério dos Transportes,26,Transporte,846,Outros encargos especiais,-1559069.59,11027987.620000001,11027987.620000001
2020,46000,Ministério da Gestão e da Inovação em Ser,04,Administração,301,Atenção básica,3339537.4200000004,11157474.049999999,10861867.08
2020,22000,Ministério da Agricultura e Pecuária,28,Encargos especiais,846,Outros encargos especiais,13284711.95,10630867.02,10724205.2
2020,49000,Ministério do Desenvolvimento Agrário e Agr,28,Encargos especiais,846,Outros encargos especiais,-1228137.3999999997,10014656.02,10257051.35
2020,35000,Ministério das Relações Exteriores,07,Relações exteriores,846,Outros encargos especiais,5411022.29,10196635.030000001,10196635.030000001
